Nummer,Nomen,Bedeutung
116,Erzeugung,
117,Kennzeichnung,
118,Zur verfuegung stellen,
119,Unterlagen,
120,Bezeichnun,
121,Freitextfeld,
122,Pflicht,
123,Kategorie,
124,Auswahlfeld,
125,Kuendigung,
126,Schriftverker,
127,Bemerkung,
128,Freitext,
129,Optionalitaet,
130,Finanzkontrolling,
131,Terminkontrolling,
132,Vertragskontrolling,
133,Auswertungsexplorer,
134,Ergebnisse,
135,Tabellenformat,
136,Endauslieferung,
137,Export,
138,Stammdatenverwaltung,
139,Maske,
140,Loeschung,
141,Organigramm,
142,Unternehmen,
143,Unternehmensleitung,
144,Bezirkskrankenhaus,
145,Buchhaltungssicht,
146,Buchungskreise,
147,Wohnen und Foerdern,
148,Unterabteilung,
149,Abteilungsleitung,
150,Stellvertreter,
151,Liegenschaften,
152,Leistungsempfaenger,
153,Leistungsbringer,
154,Vertragstyp,
155,Vertragsart,
156,Hardware,
157,Merkmal,
158,Kaufleasing,
159,Miete,
160,Wartung,
161,Dienstleistung,
162,Neuanlage,
163,Import,
164,Export,
165,Importfunktion,
166,Exportfunktion,
167,Kostenstellenplan,
168,Eingabemaske,
169,Minimalanforderung,
170,csv-Datei,
171,Kreditor,
172,Debitor,
173,Formular,
174,Stellvertretender Dispatcher,
175,User,
176,Anbindung,
177,Active Directory,
178,Gruppe,
179,Gruppenname,
180,Attribut,
181,Abgleich,
182,Rechtevergabe,
183,Sperren,
184,IT-Vertrag,
185,Passwort,Dient dem System zur Authentifizierung eines Benutzers.
186,Authentifizierung,Sicherstellung der Identitaet eines Benutzers.
187,Erinnerungsmail,Nachricht an die E-Mail-Adresse eines Benutzers.
188,Mailadresse,"(klar, keine spezielle Verwendung >>> weglassen)"
189,Originaldokument,"Physisches Dokument, welches keine Kopie ist."
190,Bedarf,"(keine spezielle Bedeutung, Begriffsverwendung allgemein >>> weglassen)"
191,Aufenthaltsort,Angabe ueber einen physischen Ort bzgl. eines Dokuments.
192,Zustaendigkeitsbereich,Enthaelt Zustaendigkeiten bzgl. Vertraegen.
193,Vertragsdaten,Inhalte die einen Vertrag spezifizieren.
194,Regionalleiter,Verantwortlicher ueber einen Zustaendigkeitsbereich.
195,SC-Leiter,Verantwortlicher ueber einen Zustaendigkeitsbereich.
196,Vorstand,Verantwortlicher ueber einen Zustaendigkeitsbereich.
197,DLZ-Leiter,Verantwortlicher ueber einen Zustaendigkeitsbereich.
198,Vertretung,Vertritt einen Dispatcher.
199,Laufzeitueberwachung,Informationen ueber die Laufzeiten von Vertraegen koennen durch einen Dispatcher geprueft werden.
200,Fristenueberwachung,Informationen ueber die Fristen von Vertraegen koennen durch einen Dispatcher geprueft werden.
201,Aktualitaet,Vertragsdaten sind mit den neuesten Aenderungen synchronisiert.
202,Aktualisierung,"Vorgang, bei dem Vertragsdaten mit den neuesten Aenderungen synchronisiert werden."
203,Nutzerrechte,"Definieren die Moeglichkeiten eines Benutzers, durch Vergabe von Rechten im System einzugreifen. Diese koennen erweitert, aber auch eingeschraenkt werden."
204,Administratorrechte,Dienen der Pflege der Stammdaten. Es gibt allerdings keine Berechtigung zur Anzeige oder Bearbeitung von Vertraegen. Die Sperrung eines Benutzers fuer das Vertragsmanagement ist moeglich.
205,Recht,(information mehr oder weniger in nutzerrechte enthalten)
206,Anzeige,Rechnergestuetzte Darstellung eines Vertrags in einem softwareergonomischem Kontext.
207,Bearbeitung,Interaktive Aenderung der Vertragsdaten.
208,Rollenkonzept,"Das normale Rollenkonzept beschraenkt sich im Wirkungsbereich auf einen Mandanten und der Organisationsstruktur, zu der der zugehoerige Benutzer gehoert. Darueber hinaus soll es die Moeglichkeit geben ueber dieses Rollenkonzept hinaus einzelnen Anwendern oder einer Abteilung Leserechte fuer alle Mandanten oder Organisationsstrukturen zu geben. Ermoeglicht z.B. mandantenuebergreifende Auswertungen."
209,Wirkungsbereich,Spezifiziertes Umfeld im System in welchem ein Benutzer  agieren kann. Im normalen Rollenkonzept auf den Mandant oder die Organisationsstruktur des jeweiligen Benutzers beschraenkt.
210,Organisationsstruktur,
211,Anwender,"(kann man weglassen, da Wortbedeutung User)"
212,Interne Vertragsnummer,Wird automatisch erzeugt und dient dem System intern zur Identifikation eines Vertrags.
213,Index,Interne Vertragsnummer als Index des zugehoerigen Vertrags.
214,Weise,(weglassen)
215,Externe Vertragsnummer,Wurde vom Vertragspartner festgelegt.
216,Vertragstyp,Pflichtfeld: Auswahlfeld -> siehe Stammdaten
217,Vertragsart,Pflichtfeld: Auswahlfeld -> siehe Stammdaten
218,Unterart,Pflichtfeld: Auswahlfeld -> siehe Stammdaten. Die Auswahl ist abhaengig von der gewaehlten Vertragsart.
219,Zugeordnete Abteilung,Abteilung fuer die ein Vertrag eine verbindliche Auswirkung hat.
220,Ueberwachtende Abteilung,"Ein Status einer Abteilung, der dadurch festgelegt wurde, dass deren Dispatcher die Aufgabe hat, einen Vertrag zu ueberwachen."
221,Nettokosten,"Effektive (bzw. tatsaechlich eingetretene) Nettokosten, die im Feld Betrag als Kosten eingegeben werden."
222,Kostenanalyse,Um die Aussagekraft dieser zu verbessern werden Flags eingesetzt.
223,Aussagekraft,"(weglassen,zu allgemein)"
224,Vorauskasse,"Flag, das bei Vertraegen gesetzt wird, die durch eine Einmalzahlung langfristig gelten."
225,Einmalzahlung,"(Bedeutung eher allgemein, weglassen)"
226,Filterung,"Mechanismus, welcher der gezielten Auflistung von Vertraegen dient, die bestimmte Eigenschaften haben. Insbesondere sollen die Flags ""Vorauskasse"" und ""Anpassung"" solche Merkmale sein. "
227,Folgejahre,(zu allgemein weglassen)
228,Bezahlung,"(zu allgemein, weglassen)"
229,Variabel,"Flag, das bei Vertraegen gesetzt wird, die verbrauchsabhaengig variable Kosten verursachen."
230,Anpassung,"Flag, das bei Vertraegen gesetzt wird, die Preisanpassungsklauseln durch Lohnsteigerungsindex usw. unterliegen."
231,Verbrauch,
232,Groesse,
233,Zahlungsbeginn,
234,Preisanpassungsklauseln,
235,Lohnsteigerungsindex,
236,Zahlungsintervall,
237,Kostenstelle,
238,Belastung,
239,Vertragspartner,
240,Stammdaten,
241,Inkrafttreten,
242,Vertragsbeginn,
243,Kuendigungsfrist,
244,Kuendigungstermin,
245,Vorzeitig,
246,Vorzeitigkeit,
247,Vertragsende,
248,Erinnerung,
249,Kuendigung,
250,Kuendigungstermin,
251,Feld,
252,Berechnungshilfe,
253,Erinnerungsdatum,
254,Vertragsstatus,
255,Elektronisches Vertragsdokument,
256,Ablauf,
257,Benutzeroberflaeche,
258,Ladezeit,
259,Programmierung,
260,Intuitivitaet,
261,Basis,
262,Benutzerfreundlichkeit,
263,HTML5,
264,Browser,
265,Internetexplorer,
266,Edge,
267,PDF-Dokument,
268,Bedienung,
269,Client,
270,Clientinstallation,
271,Datenbank,
272,MSSQL2014,
273,Single Sign on,
274,Anmeldung,
